FED_RESPONSE_ID,SURVEY_TIME,SURVEY_NAME,AT_SITE_ID(1),AT_CREATIVE_ID(2),AT_PLACEMENT_ID(3),AT_DAYS_SINCE_IMPRESSION(4),AT_IMPRESSION_TIME(5),AGE(6),GENDER(7),ZIP(8),STATE(9),ETHNICITY(10),HISPANIC(11),STANDARD_HHI_US(12),STANDARD_EDUCATION(13),STANDARD_EMPLOYMENT(14),STANDARD_INDUSTRY_PERSONAL(15),MS_IS_MOBILE(16),"Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-All-inclusive resort","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-Casino trip","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-Ocean Cruise","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-Theme park(e.g., Disney, Legoland)","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-Beach vacation","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-Activity-based vacation(e.g., fishing, golfing, skiing, hiking, etc.)","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-U.S. ""Destination exploration"" (e.g., Grand Canyon, Washington DC, etc.)","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-International “Destination exploration” (e.g., London, Italy, etc.)","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-Trip set up specifically so I could do volunteer work","Now thinking specifically about your next vacation, which of the following type(s) of vacation(s)...-Click to writeSpecial Event (e.g., Mardi Gras, Olympics, Music festivals, etc.) Statement 10","Thinking about cruise line companies, which cruise line come to your mind? (If you can't think of...-First cruise line that comes to mind","Thinking about cruise line companies, which cruise line come to your mind? (If you can't think of...-Second cruise line","Thinking about cruise line companies, which cruise line come to your mind? (If you can't think of...-Third cruise line",Take a moment to consider the cruise lines companies listed below.  We understand that you may or...-Holland America Line,"Please indicate whether or not you have seen, heard, or read any advertising in the past month fo...-Holland America Line",How would you describe your experience with cruising?,consider,"Now thinking about your cruise line preferences, if you were going to take a cruise, which of the...-First Choice","Now thinking about your cruise line preferences, if you were going to take a cruise, which of the...-Second Choice",fav,old,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,atttotal,reco,reco.bk
E153FDB4-CEBF-E511-8111-125BDAFF1DF1,1/20/2016 17:37,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,11,2016-01-09T13.22.37.584000,67,1,76117,44,1,1,21,6,1,19,FALSE,5,7,10 - Definitely will consider,1,9,2,9,8,0 - Definitely will not consider,8,disney,royal caribbean,princess,Very favorable,"Yes, I have seen or heard of it",I have not been on a cruise before and I will consider for future vacations,7,Royal Caribbean,Norwegian ,9,9,1,0,1,1,0,1,0,1,0,1,7,9,22,1,9
E9219D50-CFBF-E511-8111-125BDAFF1DF1,1/20/2016 17:41,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,1,2016-01-19T13.23.57.881000,55,2,34761,10,1,1,27,7,1,1,FALSE,5,4,10 - Definitely will consider,2,7,1,3,0 - Definitely will not consider,0 - Definitely will not consider,0 - Definitely will not consider,holland,carnival,princess,Somewhat favorable,I have never even seen or heard of this cruise line,I went on a cruise before and I will consider for future vacations,8,Royal Caribbean,Princess,8,8,0,0,0,1,0,0,1,0,0,0,8,8,18,1,8
950E6AA4-CFBF-E511-8111-125BDAFF1DF1,1/20/2016 17:43,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,8,2016-01-12T04.39.55.858000,52,2,19802,8,16,1,27,6,7,50,FALSE,4,6,2,3,1,1,4,0 - Definitely will not consider,5,4,none,0,0,Absolutely no opinion,I have never even seen or heard of this cruise line,I have not been on a cruise before and I will not consider for future vacations,2,Royal Caribbean,Norwegian ,3,2,0,1,0,0,0,0,1,0,1,0,2,3,8,0,2
F9A550FE-CFBF-E511-8111-125BDAFF1DF1,1/20/2016 17:46,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,2,2016-01-18T18.31.19.349000,64,2,64834,26,1,7,24,10,1,26,FALSE,6,10 - Definitely will consider,9,10 - Definitely will consider,10 - Definitely will consider,9,10 - Definitely will consider,8,10 - Definitely will consider,10 - Definitely will consider,CARNIVAL,NA,NA,Somewhat favorable,I have never even seen or heard of this cruise line,I went on a cruise before and I will consider for future vacations,7,Carnival,Royal Caribbean,8,7,0,0,0,0,0,0,0,0,0,0,7,8,15,0,7
D1194D0A-D0BF-E511-8111-125BDAFF1DF1,1/20/2016 17:46,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,0,2016-01-20T02.20.35.276000,56,2,10950,33,1,1,21,8,4,30,TRUE,3,5,3,8,3,2,10 - Definitely will consider,10 - Definitely will consider,1,10 - Definitely will consider,Viking,0,0,Absolutely no opinion,I don't think so,I went on a cruise before and I will consider for future vacations,3,Norwegian ,Royal Caribbean,5,3,0,0,0,0,0,0,0,0,0,0,3,5,8,0,3
B20AF16E-05C0-E511-8111-125BDAFF1DF1,1/21/2016 0:08,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,6,2016-01-14T18.41.00.646000,61,2,91709,5,1,1,22,8,1,31,FALSE,4,2,10 - Definitely will consider,0 - Definitely will not consider,10 - Definitely will consider,10 - Definitely will consider,3,10 - Definitely will consider,0 - Definitely will not consider,4,NORWEGIAN,ROYAL CARRIBEAN,CELEBRITY,Very favorable,"Yes, I have seen or heard of it",I went on a cruise before and I will consider for future vacations,9,Norwegian ,Royal Caribbean,9,9,1,0,1,1,1,1,1,1,1,1,9,9,27,1,9
C257730B-06C0-E511-8111-125BDAFF1DF1,1/21/2016 0:13,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,0,2016-01-21T03.21.32.077000,56,1,94561,5,1,1,21,6,2,45,FALSE,0 - Definitely will not consider,0 - Definitely will not consider,0 - Definitely will not consider,0 - Definitely will not consider,7,10 - Definitely will consider,5,0 - Definitely will not consider,0 - Definitely will not consider,0 - Definitely will not consider,carnival,pricess,alaska,Absolutely no opinion,I think so,I went on a cruise before and I will consider for future vacations,5,Carnival,Princess,5,5,0,0,0,0,0,1,0,0,0,0,5,5,11,0,5
11CD9604-0BC0-E511-8111-125BDAFF1DF1,1/21/2016 0:48,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,4,2016-01-17T04.19.33.116000,60,2,85132,3,1,1,22,6,2,39,FALSE,6,0 - Definitely will not consider,10 - Definitely will consider,5,7,4,8,9,5,7,royal carbinana,0,0,Somewhat favorable,I think so,I went on a cruise before and I will consider for future vacations,8,Royal Caribbean,Norwegian ,7,7,0,0,0,0,0,0,0,0,0,0,8,7,15,0,7
AE4319E7-0CC0-E511-8111-125BDAFF1DF1,1/21/2016 1:02,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,0,2016-01-21T06.25.17.817000,51,2,94019,5,1,1,21,4,1,26,FALSE,10 - Definitely will consider,2,10 - Definitely will consider,10 - Definitely will consider,10 - Definitely will consider,7,10 - Definitely will consider,10 - Definitely will consider,6,7,Royal Carribean,Carnival,Princess,Absolutely no opinion,I don't think so,I went on a cruise before and I will consider for future vacations,7,Oceania,Royal Caribbean,6,5,1,0,1,0,0,1,0,0,0,0,7,6,16,0,5
398A7212-30C0-E511-8111-125BDAFF1DF1,1/21/2016 5:14,FEDAT52 - Holland American Line - Exposed,1.12E+13,1.10E+13,1.10E+13,8,2016-01-12T18.53.22.184000,64,2,12302,33,1,1,21,10,1,20,FALSE,8,6,10 - Definitely will consider,9,8,5,7,4,1,5,royal caribbean,princess,disney,Somewhat favorable,I don't think so,I went on a cruise before and I will consider for future vacations,6,Royal Caribbean,Princess,6,5,1,1,1,1,1,0,0,1,0,0,6,6,18,0,5
